,Number of Nodes,Training Error,Validation Error
0,0.1,0.851015625,0.867
1,0.01,0.851765625,0.868125
2,0.001,0.853265625,0.868
3,0.0001,0.84446875,0.8646875
4,1e-05,0.853359375,0.8685625
